id,villcode,villname,gewocode
1,0101001,CHAKHAR,001
2,0101044,DEKILING,001
3,0101003,CHAMKHAR THROM,001
4,0101004,CHANGWA,001
5,0101005,DAMPHEL,001
6,0101006,DAWATHANG,001
7,0101007,DHUR DOK,001
8,0101008,DHUR LUSIBE,001
9,0101009,DHUR MOEN,001
10,0101010,DODRONG,001
11,0101011,DORJIBE,001
12,0101012,GOLING,001
13,0101013,GONGKHAR,001
14,0101014,GYELKHAR,001
15,0101015,JAKAR,001
16,0101016,JAKAR LHAKHANG,001
17,0101017,JAMPEL LHAKHANG,001
18,0101018,KENCHOSUM,001
19,0101019,KHANGDOK,001
20,0101020,KHARSA,001
21,0101021,KHARSUM,001
22,0101022,LAMAGONPA,001
23,0101023,NANGLAKHANG,001
24,0101024,NANGSEPHEL/TENDOK,001
25,0101025,NANGSEYPHEL,001
26,0101026,NORBUGANG,001
27,0101027,PANGREY,001
28,0101028,PETSELING,001
29,0101029,POENGAR,001
30,0101030,POTOLA,001
31,0101031,SAMTHANG,001
32,0101032,SARAM,001
33,0101033,SHUKDAK,001
34,0101034,TAMSHING,001
35,0101035,TASHILING,001
36,0101036,TENDOK,001
37,0101037,THANGBI,001
38,0101038,TORSHONG,001
39,0101039,WANGDICHOLING,001
40,0101040,ZANGLING,001
41,0101041,ZHAPTHANG,001
42,0101042,SANGSANGMA,001
43,0101043,TASHIGATSHEL,001
44,0101002,CHAMKHAR,001
45,0102021,URUDRANGBI,002
46,0102022,YAMTHRAG,002
47,0102023,YERANGBI,002
48,0102024,ZHICHA,002
49,0102025,ZHUREY,002
50,0102026,ZURGNEY/CHOTEN NENGPA,002
51,0102027,ZURNEY,002
52,0102001,BHIM,002
53,0102002,BULI,002
54,0102003,BULI/URU,002
55,0102004,CHEDEYPANG,002
56,0102005,CHODA,002
57,0102006,CHUNGPHEL,002
58,0102007,DOMKHAR,002
59,0102008,GEYTSA,002
60,0102009,NANGAR,002
61,0102010,NGANEY,002
62,0102011,PANGTEYGOENPA,002
63,0102012,PHURJON,002
64,0102013,SAMTENLING,002
65,0102014,TERZEY,002
66,0102015,THARPALING,002
67,0102016,THROMETH,002
68,0102017,THROMETH/SAMLING,002
69,0102018,TRAKAR,002
70,0102019,URSANG,002
71,0102020,URU,002
72,0103001,BENZABI,003
73,0103027,UGYENCHOLING,003
74,0103003,CHOJAM,003
75,0103004,CHUTOE,003
76,0103005,DAZUR,003
77,0103006,GAMLING,003
78,0103007,GANJU,003
79,0103008,JAMSHONG,003
80,0103009,JOG,003
81,0103010,KHANGRAB,003
82,0103011,KHOYAR,003
83,0103012,KIDZOM,003
84,0103013,KUNZANGDAK,003
85,0103014,LANGMALUNG,003
86,0103015,MESEYTHANG,003
87,0103016,NAMKHA,003
88,0103017,NANGNANG,003
89,0103018,NIMALUNG,003
90,0103019,PANGSHING,003
91,0103020,PHOM DRONG,003
92,0103021,REMOCHEN,003
93,0103022,SARMETH,003
94,0103023,SHOBUGONPA,003
95,0103024,TANDINGANG,003
96,0103025,TASHILING,003
97,0103026,TRALANG,003
98,0103002,BEYZUR,003
99,0104001,BETENG,004
100,0104002,PANGKHAR,004
101,0104003,SHINGKHAR,004
102,0104004,SHINGNEER,004
103,0104010,URA-TRABI,004
104,0104006,TANGSIBI,004
105,0104007,URA-CHARIPA,004
106,0104008,URA-TARSHONG,004
107,0104009,URA-TEOPA,004
108,0104005,SUMTHRANG,004
109,0202001,BJACHHO,005
110,0202002,MEPISA,005
111,0202005,WANGKHA,005
112,0202004,TSIMAKOTHI,005
113,0202003,TSIMALAKHA,005
114,0203001,BAIKINZA,006
115,0203015,ZAMSA,006
116,0203003,BONGO,006
117,0203004,CHASILAKHA,006
118,0203005,CHUNGKHA,006
119,0203006,DAMJI,006
120,0203007,GEDU,006
121,0203008,JUMJA,006
122,0203009,JUNGLAY,006
123,0203010,KETOKHA,006
124,0203011,MERITSHEMO,006
125,0203012,PAKSHIKHA,006
126,0203013,PHATSHUMA,006
127,0203014,TOKTOKHA,006
128,0203002,BOERI,006
129,0204001,BUNAKHA,007
130,0204002,DORGOEN,007
131,0204003,GANGKHA,007
132,0204004,JONGZHI,007
133,0204005,LOBNEYKHA,007
134,0204012,PAGA GOENPA,007
135,0204007,PAGA GOENPA,007
136,0204008,RIMTAKHA,007
137,0204009,SHEGOEN,007
138,0204010,SHEYUL,007
139,0204011,TSHAMDA,007
140,0204006,METEP,007
141,0205001,CHUMEYLAKHAR(BARKHEY),008
142,0205018,SHARPHUG(SANGKHU),008
143,0205003,TAPTHANGBOP(BICH SAURENI),008
144,0205004,DOJANGCHHEY(DOJANGCHEY),008
145,0205005,GAMANANG(GAMANA),008
146,0205006,GENGU,008
147,0205007,NIMGANG(GHAMDARA),008
148,0205008,RINCHENTSE(GURUNG GOAN),008
149,0205009,KEMALAKHA,008
150,0205010,KHAMEYTAPTHANG(LOWER SAURENI),008
151,0205011,PAGSHINGGANG(PAKSHINA),008
152,0205012,SAMARCHHEN(SAMACHIN),008
153,0205013,SILLANGSA(SILLEY),008
154,0205014,SINCHULA,008
155,0205015,TABJI(TABJEE),008
156,0205016,KHATEYTAPTHANG(UPPER SAURENI),008
157,0205017,YAGANG,008
158,0205002,DARLABUP(BICH DARLA),008
159,0206001,BABANA,009
160,0206002,DUNGNA,009
161,0206007,RUDINGKHA,009
162,0206005,MANGDOKHA,009
163,0206006,PANGU,009
164,0206003,EUZHI,009
165,0208006,TASHIGANG,010
166,0208005,PHUTSHA,010
167,0208004,PANGSELA,010
168,0208003,DAGA,010
169,0208002,CHEYUL,010
170,0208001,BACHHU,010
171,0208007,TSHEBJI,010
172,0207009,KAMJEE,011
173,0207008,TSHANGLINA,011
174,0207006,OMCHU,011
175,0207005,NAYEKHA,011
176,0207004,GEYGEON,011
177,0207003,DELIP,011
178,0207002,DAGPA,011
179,0207001,CHANGEYKHA,011
180,0209002,CHAGDOKHA(CHADOKHA),012
181,0209001,AUMLEY(AMOLAY),012
182,0209003,CHIMONGNA KA(CHIMUNA A),012
183,0209014,EUZHI,012
184,0209013,LOTOKHA,012
185,0209012,RUDINGKHA,012
186,0209011,PAMJI,012
187,0209010,JEDOKHA,012
188,0209004,CHIMONGNA KHA(CHIMUNA B),012
189,0209005,DAMCHEKHA,012
190,0209006,DOFAM,012
191,0209007,DOLEPCHEN,012
192,0209008,DUPANANG(DUBENI),012
193,0209009,JACHU,012
194,0210005,METAP GONPA,013
195,0210004,LOTOKHA,013
196,0210003,GUMINA,013
197,0210002,EUKHA,013
198,0210006,PANGU,013
199,0210007,PAPALING,013
200,0211007,CHONGEYKHA A,014
201,0211008,CHONGEYKHA B,014
202,0211009,DAJAYGANG,014
203,0211010,NYEDRAG(DAMDARA),014
204,0211011,DOPHULAKHA,014
205,0211012,KUNGKHA,014
206,0211013,LINGDEN,014
207,0211014,PACHHUDRAG(PACHU DARA),014
208,0211015,PACHHUGANG(PACHU TAR),014
209,0211016,PHUNTSHOLING,014
210,0211017,PHUNTSHOLING TOWN,014
211,0211018,WANGDIGATSHEL(RAMITAY),014
212,0211019,GANGTENG(SERINA),014
213,0211020,TASHIDINGKHA,014
214,0211021,PEKARSHING(TORIBARI),014
215,0211001,DOPHUGCHEN(AHALAY),014
216,0211002,PACHHUTHANG(BALDEN DARA),014
217,0211003,BOSOKHA,014
218,0211004,MARBJI(CHILAUNEY),014
